n.uri,m.contractpartyid,r.haseffectivedate,r.hasexpirationdate,r.hasposition,r.hastitle,o.uri
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000010,400000000010,"""2006-01-09T00:00:00""","""2008-05-16T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3101
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000010,400000000010,"""2011-06-14T00:00:00""","""2013-06-17T00:00:00""",Officer,CHIEF EXECUTIVE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1006
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000236,400000000236,"""2014-02-28T00:00:00""","""2016-02-03T00:00:00""",Officer,CHIEF INFORMATION OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1232
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000236,400000000236,"""2014-02-01T00:00:00""","""2016-02-17T00:00:00""",Officer,SENIOR VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1006
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000234,400000000234,"""2013-11-22T00:00:00""","""2016-01-22T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1230
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000234,400000000234,"""2014-01-03T00:00:00""","""2015-01-03T00:00:00""",Officer,SENIOR VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1004
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000235,400000000235,"""2014-02-11T00:00:00""","""2016-08-11T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1231
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000235,400000000235,"""2014-01-10T00:00:00""","""2014-01-10T00:00:00""",Officer,CORPORATE SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1005
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000232,400000000232,"""2013-11-01T00:00:00""","""2016-09-06T00:00:00""",Officer,CHIEF FINANCIAL OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1228
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000232,400000000232,"""2013-12-02T00:00:00""","""2016-09-26T00:00:00""",Officer,CHIEF EXECUTIVE OFFICER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1002
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000233,400000000233,"""2013-11-19T00:00:00""","""2013-11-19T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1229
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000233,400000000233,"""2013-12-02T00:00:00""","""2013-12-02T00:00:00""",Officer,CORPORATE SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1003
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000231,400000000231,"""2013-10-28T00:00:00""","""2014-05-08T00:00:00""",Officer,SECRETARY,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1227
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000231,400000000231,"""2013-11-12T00:00:00""","""2014-12-19T00:00:00""",Officer,VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1001
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000005,400000000005,"""2005-11-21T00:00:00""","""2005-11-21T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3096
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000005,400000000005,"""2011-01-16T00:00:00""","""2011-01-16T00:00:00""",Officer,UNKNOWN,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1001
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000006,400000000006,"""2005-12-05T00:00:00""","""2011-10-31T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3097
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000006,400000000006,"""2011-03-23T00:00:00""","""2011-03-23T00:00:00""",Officer,EXECUTIVE VICE PRESIDENT,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1002
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000009,400000000009,"""2005-12-31T00:00:00""","""2006-12-31T00:00:00""",Director,BOARD MEMBER,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/3100
https://spec.edmcouncil.org/fibo/ontology/FND/AgentsAndPeople/People/Person/400000000009,400000000009,"""2011-04-29T00:00:00""","""2011-06-30T00:00:00""",Officer,CHAIRMAN OF THE BOARD OF DIRECTORS,https://spec.edmcouncil.org/fibo/ontology/BE/LegalEntities/CorporateBodies/Corporation/1005
